"","CVE_CONCAT","SUP_TOTAL","SUP_TOTAL.1","F_TOTAL","P_TOTAL","TERRENOS_16.x","SUP_TOTAL_16.x","SUP_SEMB_16.x","TERRENO_PROM_TOT_16.x","TERRENO_PROM_SEM_16.x","PCT_SUPSEM_16.x","PCT_AGRICOLA.x","PCT_FORESTAL","PCT_PECUARIO","PCT_OCUPADO","SUP_TOTAL.2","F_TOTAL.1","P_TOTAL.1","TERRENOS_16.x.1","SUP_TOTAL_16.x.1","SUP_SEMB_16.x.1","TERRENO_PROM_TOT_16.x.1","TERRENO_PROM_SEM_16.x.1","PCT_SUPSEM_16.x.1","PCT_AGRICOLA.x.1","PCT_FORESTAL.1","PCT_PECUARIO.1","PCT_OCUPADO.1"
"1","116_004-6_001",9070.8535,9070.8535,10,237,315,9070.8535,66.4893,28.7963603174603,11.08155,0.00732999380929259,0.019047619047619,0.0317460317460317,0.752380952380952,0.803174603174603,9070.8535,10,237,315,9070.8535,66.4893,28.7963603174603,11.08155,0.00732999380929259,0.019047619047619,0.0317460317460317,0.752380952380952,0.803174603174603
"2","116_005-0_003",6643.5596,6643.5596,1,164,230,6643.5596,72.0306,28.8850417391304,9.003825,0.0108421696103998,0.0347826086956522,0.00434782608695652,0.71304347826087,0.752173913043478,6643.5596,1,164,230,6643.5596,72.0306,28.8850417391304,9.003825,0.0108421696103998,0.0347826086956522,0.00434782608695652,0.71304347826087,0.752173913043478
"3","116_005-0_004",2222.0386,2222.0386,49,76,174,2222.0386,0.204,12.7703367816092,0.068,9.18075860608362e-05,0.0172413793103448,0.281609195402299,0.436781609195402,0.735632183908046,2222.0386,49,76,174,2222.0386,0.204,12.7703367816092,0.068,9.18075860608362e-05,0.0172413793103448,0.281609195402299,0.436781609195402,0.735632183908046
"4","116_005-0_007",3416.0088,3416.0088,2,67,102,3416.0088,78.0992,33.4902823529412,15.61984,0.0228627045691451,0.0490196078431373,0.0196078431372549,0.656862745098039,0.725490196078431,3416.0088,2,67,102,3416.0088,78.0992,33.4902823529412,15.61984,0.0228627045691451,0.0490196078431373,0.0196078431372549,0.656862745098039,0.725490196078431
"5","116_006-5_004",470.4783,470.4783,0,0,3,470.4783,166.7658,156.8261,55.5886,0.354460131317427,1,0,0,1,470.4783,0,0,3,470.4783,166.7658,156.8261,55.5886,0.354460131317427,1,0,0,1
"6","116_006-5_006",3802.8789,3802.8789,9,63,183,3802.8789,429.489,20.7807590163934,7.9535,0.112937858736443,0.295081967213115,0.0491803278688525,0.344262295081967,0.688524590163934,3802.8789,9,63,183,3802.8789,429.489,20.7807590163934,7.9535,0.112937858736443,0.295081967213115,0.0491803278688525,0.344262295081967,0.688524590163934
"7","116_006-5_007",544.2262,544.2262,0,0,0,0,0,0,0,0,0,0,0,0,544.2262,0,0,0,0,0,0,0,0,0,0,0,0
"8","116_006-5_009",667.6872,667.6872,0,2,0,0,0,0,0,0,0,0,0.5,0.5,667.6872,0,2,0,0,0,0,0,0,0,0,0.5,0.5
"9","116_007-A_001",384.5981,384.5981,0,2,17,384.5981,11.6801,22.6234176470588,5.84005,0.030369624810939,0.117647058823529,0,0.117647058823529,0.235294117647059,384.5981,0,2,17,384.5981,11.6801,22.6234176470588,5.84005,0.030369624810939,0.117647058823529,0,0.117647058823529,0.235294117647059
"10","116_007-A_002",300.856,300.856,0,2,8,300.856,39.9906,37.607,13.3302,0.13292272715186,0.375,0,0.25,0.625,300.856,0,2,8,300.856,39.9906,37.607,13.3302,0.13292272715186,0.375,0,0.25,0.625
"11","116_007-A_003",2981.8731,2981.8731,0,19,163,2981.8731,4.4979,18.2937,4.4979,0.00150841429167459,0.00613496932515337,0,0.116564417177914,0.122699386503067,2981.8731,0,19,163,2981.8731,4.4979,18.2937,4.4979,0.00150841429167459,0.00613496932515337,0,0.116564417177914,0.122699386503067
"12","116_007-A_004",84.1712,84.1712,0,0,1,84.1712,29.8353,84.1712,29.8353,0.354459720189328,1,0,0,1,84.1712,0,0,1,84.1712,29.8353,84.1712,29.8353,0.354459720189328,1,0,0,1
"13","116_007-A_005",1611.7453,1611.7453,0,1,19,1611.7453,541.2312,84.8287,30.0684,0.335804422696316,0.947368421052632,0,0.0526315789473684,1,1611.7453,0,1,19,1611.7453,541.2312,84.8287,30.0684,0.335804422696316,0.947368421052632,0,0.0526315789473684,1
