"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"0","07038001-4003","07","Chiapas","038","Huixtán","001-4","003","95",97.7103
"1","07061012-0008","07","Chiapas","061","Ocozocoautla de Espinosa","012-0","008","45",684.279
"2","07119002-9001","07","Chiapas","119","Santiago el Pinar","002-9","001","4",330.248
"3","07061003-1013","07","Chiapas","061","Ocozocoautla de Espinosa","003-1","013","168",1435.2095
"4","07005005-1013","07","Chiapas","005","Amatán","005-1","013","57",266.1825
"5","07019013-1014","07","Chiapas","019","Comitán de Domínguez","013-1","014","233",131.1997
"6","07027005-9007","07","Chiapas","027","Chiapa de Corzo","005-9","007","62",118.0668
"7","07046012-4004","07","Chiapas","046","Jiquipilas","012-4","004","1",497.179
"8","07031013-6005","07","Chiapas","031","Chilón","013-6","005","65",197.7854
"9","07061013-5006","07","Chiapas","061","Ocozocoautla de Espinosa","013-5","006","93",829.7447
"10","07031009-A002","07","Chiapas","031","Chilón","009-A","002","105",2734.2425
"11","07004007-3009","07","Chiapas","004","Altamirano","007-3","009","638",1366.3249
"12","07061018-8001","07","Chiapas","061","Ocozocoautla de Espinosa","018-8","001","21",813.5055
"13","07106009-2009","07","Chiapas","106","Venustiano Carranza","009-2","009","90",32.4762
"14","07049002-2009","07","Chiapas","049","Larráinzar","002-2","009","24",57.6672
"15","07057004-3017","07","Chiapas","057","Motozintla","004-3","017","4",208.4472
"16","07003003-8009","07","Chiapas","003","Acapetahua","003-8","009","31",1247.5659
"17","07107020-6009","07","Chiapas","107","Villa Corzo","020-6","009","7",712.2948
"18","07065025-7008","07","Chiapas","065","Palenque","025-7","008","4",245.5854
"19","07018001-1007","07","Chiapas","018","Coapilla","001-1","007","29",1124.736
"20","07061020-5003","07","Chiapas","061","Ocozocoautla de Espinosa","020-5","003","23",1127.0888
"21","07018002-6013","07","Chiapas","018","Coapilla","002-6","013","5",239.8492
"22","07087002-3005","07","Chiapas","087","Suchiate","002-3","005","50",601.4938
"23","07045001-9013","07","Chiapas","045","Ixtapangajoya","001-9","013","10",531.5982
"24","07037005-5023","07","Chiapas","037","Huehuetán","005-5","023","23",386.0763
"25","07057005-8012","07","Chiapas","057","Motozintla","005-8","012","49",386.2915
"26","07108010-A003","07","Chiapas","108","Villaflores","010-A","003","20",100.7407
"27","07047001-3016","07","Chiapas","047","Jitotol","001-3","016","10",32.829
"28","07009021-A011","07","Chiapas","009","Arriaga","021-A","011","22",742.0773
"29","07048008-2006","07","Chiapas","048","Juárez","008-2","006","16",505.2107
"30","07052039-0007","07","Chiapas","052","Las Margaritas","039-0","007","95",1591.7535
"31","07051013-9006","07","Chiapas","051","Mapastepec","013-9","006","52",516.6691
