"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"1","07001002-9001","07","Chiapas","001","Acacoyagua","002-9","001","1",1747.303,0,1,0,0,0,0,0,0,1,0,1
"2","07001002-9002","07","Chiapas","001","Acacoyagua","002-9","002","201",1852.513,0,35,137,1372.0271,438.4209,36.8659303482587,15.0195145348837,0,0.174129353233831,0.681592039800995,0.855721393034826
"3","07001002-9003","07","Chiapas","001","Acacoyagua","002-9","003","10",278.888,0,1,9,250.9992,76.6962,27.8888,8.5218,0,0.1,0.9,1
"4","07001002-9005","07","Chiapas","001","Acacoyagua","002-9","005","206",2651.8942,0,34,139,1115.5792,388.9403,25.746545631068,6.69189132111861,0,0.16504854368932,0.674757281553398,0.839805825242719
"5","07001002-9008","07","Chiapas","001","Acacoyagua","002-9","008","14",44.142,0,0,0,0,0,0,0,0,0,0,0
"6","07001002-9009","07","Chiapas","001","Acacoyagua","002-9","009","1",20.407,0,0,0,0,0,0,0,0,0,0,0
"7","07001002-9010","07","Chiapas","001","Acacoyagua","002-9","010","107",577.5344,0,1,94,294.8505,93.4619,10.7950355140187,7.18974086021505,0,0.00934579439252336,0.878504672897196,0.88785046728972
"8","07001002-9012","07","Chiapas","001","Acacoyagua","002-9","012","102",342.1463,0,2,82,278.9235,98.5869,6.70875098039216,4.25018289473684,0,0.0196078431372549,0.803921568627451,0.823529411764706
"9","07001002-9013","07","Chiapas","001","Acacoyagua","002-9","013","22",526.4666,0,0,22,526.4666,160.8684,23.9303,7.3122,0,0,1,1
"10","07001002-9015","07","Chiapas","001","Acacoyagua","002-9","015","182",172.2653,0,1,135,120.114,39.1262,2.83953791208791,1.6357,0,0.00549450549450549,0.741758241758242,0.747252747252747
"11","07001002-9017","07","Chiapas","001","Acacoyagua","002-9","017","15",192.6045,0,0,15,192.6045,67.7693,25.6806,16.7638,0,0,1,1
"12","07001003-3001","07","Chiapas","001","Acacoyagua","003-3","001","10",1506.543,0,0,10,1506.543,460.342,150.6543,46.0342,0,0,1,1
"13","07001003-3004","07","Chiapas","001","Acacoyagua","003-3","004","13",765.8079,0,0,13,765.8079,234.0013,58.9083,18.0001,0,0,1,1
"14","07001003-3008","07","Chiapas","001","Acacoyagua","003-3","008","47",197.1417,0,3,35,162.0681,52.0039,8.3890085106383,4.9987,0,0.0638297872340425,0.74468085106383,0.808510638297872
"15","07001003-3009","07","Chiapas","001","Acacoyagua","003-3","009","457",2356.7676,2,25,363,1767.1841,565.0253,20.6281628008753,5.01123456858407,0.00437636761487965,0.0547045951859956,0.794310722100656,0.853391684901532
"16","07001003-3010","07","Chiapas","001","Acacoyagua","003-3","010","17",252.344,0,3,12,210.7566,71.3337,29.6875294117647,15.5627909090909,0,0.176470588235294,0.705882352941177,0.882352941176471
"17","07001003-3011","07","Chiapas","001","Acacoyagua","003-3","011","3",268.92,0,0,2,128.5891,79.6034,179.28,79.6034,0,0,0.666666666666667,0.666666666666667
"18","07001003-3014","07","Chiapas","001","Acacoyagua","003-3","014","120",267.3187,0,18,90,208.6654,102.1228,6.6829675,3.57115537634409,0,0.15,0.75,0.9
"19","07001003-3016","07","Chiapas","001","Acacoyagua","003-3","016","60",388.703,5,5,42,247.5312,131.0538,32.3919166666667,23.3838,0.0833333333333333,0.0833333333333333,0.7,0.866666666666667
"20","07001003-3017","07","Chiapas","001","Acacoyagua","003-3","017","150",462.5584,0,1,125,389.2666,153.3134,9.251168,5.65943060747664,0,0.00666666666666667,0.833333333333333,0.84
"21","07001003-3020","07","Chiapas","001","Acacoyagua","003-3","020","1",84.9507,0,0,1,84.9507,25.9577,84.9507,25.9577,0,0,1,1
"22","07001003-3021","07","Chiapas","001","Acacoyagua","003-3","021","25",119.1775,0,0,1,4.7671,4.7671,4.7671,4.7671,0,0,0.04,0.04
"23","07001003-3022","07","Chiapas","001","Acacoyagua","003-3","022","22",486.4734,0,1,21,463.308,197.8741,44.2248545454545,27.1400308823529,0,0.0454545454545455,0.954545454545455,1
"24","07001003-3024","07","Chiapas","001","Acacoyagua","003-3","024","17",113.3942,0,0,15,103.558,31.6436,6.67024705882353,2.10957333333333,0,0,0.882352941176471,0.882352941176471
"25","07001003-3025","07","Chiapas","001","Acacoyagua","003-3","025","24",69.1514,0,0,13,38.2394,11.6844,2.88130833333333,0.8988,0,0,0.541666666666667,0.541666666666667
"26","07001003-3026","07","Chiapas","001","Acacoyagua","003-3","026","4",32.1595,0,0,3,23.1281,7.0671,8.039875,2.3557,0,0,0.75,0.75
"27","07001003-3030","07","Chiapas","001","Acacoyagua","003-3","030","61",107.9038,0,1,49,83.3162,33.1598,3.53782950819672,1.92460823170732,0,0.0163934426229508,0.80327868852459,0.819672131147541
"28","07001004-8001","07","Chiapas","001","Acacoyagua","004-8","001","155",807.16,0,22,127,583.7855,215.8172,15.6224516129032,7.46761017482517,0,0.141935483870968,0.819354838709677,0.961290322580645
"29","07001004-8004","07","Chiapas","001","Acacoyagua","004-8","004","4",290.0541,0,3,1,35.8772,35.8772,72.513525,35.8772,0,0.75,0.25,1
"30","07001004-8007","07","Chiapas","001","Acacoyagua","004-8","007","18",99.4698,0,0,4,22.1044,18.3698,11.0522,9.1849,0,0,0.222222222222222,0.222222222222222
"31","07001004-8008","07","Chiapas","001","Acacoyagua","004-8","008","41",116.8239,0,2,23,65.2175,38.0912,11.3974536585366,8.53997582417582,0,0.0487804878048781,0.560975609756098,0.609756097560976
"32","07001004-8009","07","Chiapas","001","Acacoyagua","004-8","009","32",348.0657,0,13,7,70.711,51.7107,43.5082125,29.97495,0,0.40625,0.21875,0.625
"33","07001004-8010","07","Chiapas","001","Acacoyagua","004-8","010","199",1398.9391,0,65,108,640.4593,459.2422,21.0895341708543,15.7455294382022,0,0.326633165829146,0.542713567839196,0.869346733668342
"34","07001004-8011","07","Chiapas","001","Acacoyagua","004-8","011","318",1072.9574,0,48,151,640.2747,488.0311,16.8703993710692,12.1727490350877,0,0.150943396226415,0.474842767295597,0.625786163522013
"35","07001004-8012","07","Chiapas","001","Acacoyagua","004-8","012","12",610.5774,0,11,1,60.5518,40.0907,50.88145,40.0907,0,0.916666666666667,0.0833333333333333,1
"36","07001004-8013","07","Chiapas","001","Acacoyagua","004-8","013","45",232.0091,0,17,9,23.0942,18.7413,10.3115155555556,4.2589,0,0.377777777777778,0.2,0.577777777777778
"37","07001004-8014","07","Chiapas","001","Acacoyagua","004-8","014","331",451.4125,0,36,74,178.3326,148.673,4.09135196374622,7.81120238095238,0,0.108761329305136,0.223564954682779,0.332326283987915
"38","07001004-8015","07","Chiapas","001","Acacoyagua","004-8","015","4",129.3809,0,0,4,129.3809,126.3435,64.69045,122.375833333333,0,0,1,1
"39","07001004-8016","07","Chiapas","001","Acacoyagua","004-8","016","30",596.9271,1,5,24,530.6019,381.1887,59.69271,40.40559375,0.0333333333333333,0.166666666666667,0.8,1
"40","07001004-8018","07","Chiapas","001","Acacoyagua","004-8","018","23",800.349,0,3,20,699.6335,463.2193,34.7977826086957,23.160965,0,0.130434782608696,0.869565217391304,1
"41","07001004-8020","07","Chiapas","001","Acacoyagua","004-8","020","5",161.5805,0,3,1,58.9908,58.9908,32.3161,58.9908,0,0.6,0.2,0.8
"42","07001004-8021","07","Chiapas","001","Acacoyagua","004-8","021","8",85.184,0,0,2,21.296,17.6979,21.296,17.6979,0,0,0.25,0.25
"43","07001004-8023","07","Chiapas","001","Acacoyagua","004-8","023","7",92.8185,0,3,1,14.1459,4.3224,13.2597857142857,4.3224,0,0.428571428571429,0.142857142857143,0.571428571428571
"44","07001004-8026","07","Chiapas","001","Acacoyagua","004-8","026","26",32.4183,0,4,19,21.0985,17.5563,4.98743076923077,4.17455,0,0.153846153846154,0.730769230769231,0.884615384615385
"45","07001004-8028","07","Chiapas","001","Acacoyagua","004-8","028","3",30.9813,0,0,1,14.5805,14.5805,10.3271,14.5805,0,0,0.333333333333333,0.333333333333333
"46","07001004-8029","07","Chiapas","001","Acacoyagua","004-8","029","37",111.548,0,8,10,27.5904,20.7777,6.02962162162162,4.08205,0,0.216216216216216,0.27027027027027,0.486486486486487
"47","07001004-8030","07","Chiapas","001","Acacoyagua","004-8","030","14",286.5814,0,2,5,102.3505,81.2182,102.3505,81.2182,0,0.142857142857143,0.357142857142857,0.5
"48","07001004-8032","07","Chiapas","001","Acacoyagua","004-8","032","4",240.8632,0,1,0,0,0,0,0,0,0.25,0,0.25
"49","07001004-8033","07","Chiapas","001","Acacoyagua","004-8","033","12",18.2616,0,0,12,18.2616,5.58,1.5218,0.465,0,0,1,1
